iter	RMSE
2250	0.07114720481
2251	0.07113301578
2252	0.0711230625
2253	0.07109686469
2254	0.07108810221
2255	0.07107979519
2256	0.07107320753
2257	0.07105760944
2258	0.07104420378
2259	0.07102742535
2260	0.07100512581
2261	0.07100439413
2262	0.07099808691
2263	0.07099566815
2264	0.07095614694
2265	0.07095474354
2266	0.07093631446
2267	0.07091349391
2268	0.07090806972
2269	0.07089297615
2270	0.07087533837
2271	0.07087291704
2272	0.07087195891
2273	0.07084893439
2274	0.07083407482
2275	0.07080533848
2276	0.07080036802
2277	0.07079765283
2278	0.07078765735
2279	0.07076803044
2280	0.07074891507
2281	0.07073266582
2282	0.07072479817
2283	0.0707188686
2284	0.07068051634
2285	0.07066455262
2286	0.07066203445
2287	0.07062457492
2288	0.0705823882
2289	0.07057920704
2290	0.07057422604
2291	0.07056401963
2292	0.07054903959
2293	0.07053940642
2294	0.07052017943
2295	0.07049291771
2296	0.07047373085
2297	0.07044881799
2298	0.07044607074
2299	0.07044424713
2300	0.0704420654
2301	0.07043213874
2302	0.07043015012
2303	0.07040856356
2304	0.07039135483
2305	0.07036268007
2306	0.07035793909
2307	0.07032408612
2308	0.07030375212
2309	0.07028965678
2310	0.07027159353
2311	0.07022572323
2312	0.0702059233
2313	0.07017777816
2314	0.07015968528
2315	0.07015816189
2316	0.07015588995
2317	0.07014999927
2318	0.07014063338
2319	0.07012096579
2320	0.07011892244
2321	0.07007945332
2322	0.07005790637
2323	0.07004759818
2324	0.07004463972
2325	0.07001916478
2326	0.07001297448
2327	0.07001138126
2328	0.07000938918
2329	0.06999044063
2330	0.06998465415
2331	0.06997550022
2332	0.06997355412
2333	0.06994504106
2334	0.06994312236
2335	0.06994195346
2336	0.06992371736
2337	0.06990447176
2338	0.06989991254
2339	0.06989130292
2340	0.06988133478
2341	0.06986972507
2342	0.06986756074
2343	0.06986607869
2344	0.06985669338
2345	0.06985443472
2346	0.06985234422
2347	0.06982524217
2348	0.06981042447
2349	0.06979515293
2350	0.06979009171
2351	0.06978508192
2352	0.06974586526
2353	0.06974374836
2354	0.0697410339
2355	0.06973907452
2356	0.06972096955
2357	0.06971368421
2358	0.06970515494
2359	0.06969620491
2360	0.06968129827
2361	0.06967076414
2362	0.06966824846
2363	0.06962921285
2364	0.06962754618
2365	0.06962113138
2366	0.06961607015
2367	0.06959967274
2368	0.06959783383
2369	0.06956365704
2370	0.06953648587
2371	0.0695348772
2372	0.06952242446
2373	0.06951141614
2374	0.06949343293
2375	0.06947717577
2376	0.06943493905
2377	0.06940570085
2378	0.06939453292
2379	0.06938862967
2380	0.06937966172
2381	0.06937778868
2382	0.06937600369
2383	0.06937419385
2384	0.06935417082
